Gender;E-Paylater User Status;Educational Background;Age;Job Status;Monthly Income;Average monthly expenditure for online shopping in relation to monthly income;IBB;P;SI;H;SC;NE
2;2;4;45;2;3;1;3;2;2;3.75;4;3
2;1;2;47;1;1;4;1.75;2.75;2.33;3.75;3;3
2;1;3;45;2;3;1;2;1;2;4;2.8;3.6
1;2;4;45;2;5;4;1.25;2.75;1.5;4;3.4;4.4
2;2;3;46;2;3;1;4;4.25;3.67;3.75;4;3.4
1;1;1;45;1;2;1;1.25;1;1;3;3.4;5
1;2;3;22;2;4;2;2.5;3.25;2.83;4;2.8;1.4
1;1;2;46;1;1;1;3.75;4;3.67;3.75;4;2.8
1;2;1;57;1;1;2;1;1.5;1.67;2;1.6;4.8
1;2;3;50;2;5;2;3.5;3.75;4.5;4;4;2.8
2;2;2;45;2;4;2;3.5;3.75;3.83;3.5;4.2;3.6
2;1;1;46;1;2;2;3.5;2;2.5;3;3.4;3.2
2;1;4;31;2;5;2;2;1;3;2;2;4.6
1;2;3;35;4;6;2;4.25;2;3.5;2.25;4;3.4
1;2;3;30;2;5;2;3.5;3.75;4.5;4;4;2.8
2;2;1;24;1;2;1;2.75;3;2.83;3;3;3.8
2;1;1;43;1;2;1;1.75;1;3;4;3;2.8
2;2;3;45;2;3;2;2.5;2.75;3.33;3.25;3.6;3
2;1;3;45;1;3;1;2.5;2;2;2.75;3.2;4.4
2;1;3;30;2;3;1;1.5;1;1;2;3.2;4
1;2;2;45;2;4;2;3.5;3.75;3.83;3.5;4.2;3.6
1;2;3;45;2;5;2;3.5;3.75;4.5;4;4;2.8
1;2;3;37;1;2;2;3;1;3;2;3.2;3.4
2;1;1;21;1;2;1;1.75;1;1;5;2.6;5
1;1;3;45;2;6;2;1;2;2;2.75;3.6;3
2;1;3;21;1;1;2;3;3.25;3.33;5;3.6;4
2;2;3;22;2;5;1;1;1;1;3.75;2.8;3.8
2;2;3;35;2;5;2;2;3;2;3.75;3.4;3.6
2;1;4;25;2;5;1;1;1;1;2;2.8;5
2;2;3;44;2;6;2;3;2;1.33;1;2.8;5
2;1;2;46;2;4;2;3.75;1;1.5;4.25;3.8;3.4
2;1;4;30;2;3;1;2;1;1;1.5;2.4;3.4
2;2;3;29;4;6;1;3.25;3.5;3.33;5;3;4.8
2;1;4;32;2;2;1;3.25;3.25;2.83;3.75;4;4
2;1;2;45;1;1;3;1;2.5;1.5;3.75;3.6;3.8
2;1;4;45;2;6;2;2;1.25;1.33;3.75;2.8;2
2;1;1;44;1;1;1;4.25;2;2;3.5;3.8;4.8
2;1;4;45;2;3;1;1.5;1;2;3.25;3.8;3.8
2;2;1;53;1;1;3;3.5;4.5;2.5;4;3.6;2.8
2;2;3;42;2;3;1;4;4.25;3.67;3.75;4;3.4
2;2;3;49;2;4;3;3.5;4;4.67;3;4;2.8
1;1;4;40;2;6;1;1.75;2.5;1;5;2.2;4
2;1;1;36;1;1;1;2.5;1.5;2.83;5;3.8;5
2;1;3;45;3;2;1;2.5;3;3;3;3.4;3
2;1;1;46;1;1;3;4;4;3.33;4;4;3
2;1;1;47;1;1;1;4;1;3;3;3.6;3.6
2;1;1;46;1;1;2;3.5;2.5;3.5;5;3.8;3.8
2;2;4;46;2;4;3;4;3.5;3;4;3.4;3
2;1;1;27;1;1;2;3.25;1;1;4;3.2;2.6
2;1;3;22;2;6;1;3.25;3;3;3;3.2;4
1;1;3;28;2;6;1;2.5;2;3;3;3.4;2.4
1;1;1;48;1;2;1;1;1;1;2;3;4
2;1;3;45;2;3;1;2;2;2;4;2.8;5
1;2;1;25;1;1;3;3;3.75;2.33;3.75;3.6;3
1;1;1;28;1;2;1;2.75;1;1.33;3.5;2.8;3.6
1;2;2;44;1;1;1;1.75;2.5;2;2;2;2.6
1;1;1;35;1;1;1;2;3.25;2.33;3.5;3;4.2
1;2;1;50;1;1;1;3;3;3.33;3;3.8;4
2;2;3;45;2;5;1;3;1;2;4;3.8;2.2
2;1;3;48;1;2;3;3.75;3;2.5;5;3.4;2.4
1;1;3;48;2;2;1;2.5;1.25;2.17;3;3.4;2.4
1;1;3;48;2;4;2;2.5;2;2;2.75;3.8;3.2
1;1;3;50;2;6;1;2.5;4;2.33;3;3;3.4
2;1;1;48;1;1;1;3.5;2;2;4;3.2;3.8
2;1;3;49;1;2;2;3.75;3.5;1;5;4.2;3.2
2;1;1;49;1;1;1;3.75;3;3;4;3.8;4.4
2;1;3;50;2;6;1;3.75;2;2;4;3.8;3.6
1;1;3;31;2;6;1;2.25;2;2.17;2.75;2.8;4
1;1;1;50;1;1;2;2.5;3.5;3.17;4;3.8;4
1;1;1;50;1;2;2;4;3;3;4;3.8;2.8
2;1;3;51;2;6;2;1;1;1;1.5;3;5
2;2;3;29;2;4;1;3;3;1.5;5;2.8;2
2;1;3;50;2;6;2;3.25;3;3;3;3;3.2
2;1;4;49;2;3;1;2.25;1;2;2.25;3.4;4.4
2;1;1;48;1;1;1;3.5;3;3.17;4;3.4;3
2;1;4;47;2;3;2;1.75;1;1;3;2.8;3
2;2;3;48;2;3;1;4;4.25;3.67;3.75;4;3.4
2;1;2;47;1;1;2;2.25;2;2;5;2.8;4.2
2;1;1;50;1;1;1;2.25;2.25;2.17;4;3.4;3.2
2;1;1;36;1;2;3;3.25;1;1.17;4;4.6;2.6
2;2;1;49;1;2;2;3.5;4;3.33;4;3;3
2;1;1;40;1;2;2;3;2.5;2.33;3.5;3.2;4
2;1;4;48;2;3;1;2.75;1;2;4;4;4.8
2;2;2;48;2;4;1;3;3.25;3.33;4;3.4;5
2;1;1;33;1;2;1;4;1;3.33;3.75;4.8;4.4
2;1;1;26;1;1;1;2;3;2.5;3.75;3.4;4.2
1;1;1;21;1;1;1;2;2;2;4;3.6;3.4
2;1;4;22;2;3;2;1.25;1;1;3;3.6;4.4
2;2;1;21;1;1;1;2;2.75;2.33;3.25;3.6;2.8
2;2;3;48;2;4;2;3.25;3.25;3.17;4;3.2;4.8
2;1;4;21;2;4;2;4.25;2;2;3;3.2;3.8
2;1;3;22;1;1;1;1.75;3.5;3;4;3.6;4.4
2;2;2;20;2;3;3;4.25;4;3.5;5;4;2.6
1;1;4;21;2;6;3;2.75;1.5;1;5;5;5
1;1;1;21;1;1;2;3.75;1;2;4;3.6;3.8
